1,twitter,"@MuzHisham Help me TOP URGENT
ASAP!! Nik Hasni Hajar Bt Nik Anuar has to make this decision. "" Please respond to this reminder by 3:00 pm today. "" Maybank hasn't issued the five Final decision letters I need  for OFS for more than five months. I need a Final decision letter https://t.co/75lTYYDhCR",,,,,,,,,,,,
2,twitter,FUEL SHACK QUILL CITY MALL....nak tahu lebih lanjut boleh call outlet kami 03-26022120 .. #deliveryfoodpanda #deliverygrabfood #takeaway #dinein #unikl #quillcitymall #hkl #dbkl #smebank #PDRM #sunway #TDM #maybank #specialist #MinDefMalaysia https://t.co/T0RDa7AG1D,,,,,,,,,,,,
3,twitter,@GrabMY Ok grab tq. Nnti sy link kan acc maybank sy,,,,,,,,,,,,
4,twitter,@Mark_Maybank Love ya Man!,,,,,,,,,,,,
5,twitter,"So masa nak beli tu, walaupun kita dah ada 15k dalam bank kita, kalau nampak je boleh bayar secara ansuran, AMBIL.

Tapi kena check jugak. Asalkan ansuran tu takde interest. 

Kalau takde offer nak bayar ansuran, credit card maybank ada offer 0% ansuran for some purchases.",,,,,,,,,,,,
6,twitter,San francisco provides 15% discount for Maybank card user. Besttt!,,,,,,,,,,,,
7,twitter,FUEL SHACK QUILL CITY MALL....nak tahu lebih lanjut boleh call outlet kami 03-26022120 .. #deliveryfoodpanda #deliverygrabfood #takeaway #dinein #unikl #quillcitymall #hkl #dbkl #smebank #PDRM #sunway #TDM #maybank #specialist #MinDefMalaysia https://t.co/rKP095LVJN,,,,,,,,,,,,
8,twitter,FUEL SHACK QUILL CITY MALL....nak tahu lebih lanjut boleh call outlet kami 03-26022120 .. #deliveryfoodpanda #deliverygrabfood #takeaway #dinein #unikl #quillcitymall #hkl #dbkl #smebank #PDRM #sunway #TDM #maybank #specialist #MinDefMalaysia https://t.co/33nmWMYThS,,,,,,,,,,,,
9,twitter,"Letak most of my money dalam MAE MAYBANK tetiba nak buat transaction, dah limit 5k . Deng kena tunggu bulan depan 🥲",,,,,,,,,,,,
10,twitter,sorry jj maybank you are not my favorite himbo anymore,,,,,,,,,,,,
11,twitter,"Hey, I hate you more than my maybank account balance. https://t.co/ezHuglraIS",,,,,,,,,,,,
12,twitter,There was a railway station behind this Maybank branch prior to 1940. Destroyed by Japanese Imperial Army during WWII. https://t.co/27Zsm9yYs4,,,,,,,,,,,,
13,twitter,Bru tau apps maybank skrg boleh msg org 😱 https://t.co/PYiIjhM8C0,,,,,,,,,,,,
14,twitter,@_maybank amoo,,,,,,,,,,,,
15,twitter,@hakim__zahar @FahrellW Hahaha maybank offline eh 😂,,,,,,,,,,,,
16,twitter,"Nyampah bila nak check baki internet atau nak renew dkt mydigi, kita kena guna internet. Hahaha da kalau xde internet dan nak renew cmne nak buka apps tu. Tak praktikal. Baik guna *128# je. So apa motif aku download benda ni. Haha nak topup pun guna maybank app/ shopee lg mudah https://t.co/J9SWMW5L7K",,,,,,,,,,,,
17,twitter,Maybank MAE ni dia hanya tunjuk duit keluar je i.e expenses. Bila duit masuk dia tak tunjuk. Jadi tiap2 bulan nampak mcm banyak kita spent.,,,,,,,,,,,,
18,twitter,jj maybank mi novio,,,,,,,,,,,,
19,twitter,@kewangangraduan Ohh kena ada akaun Maybank dulu la. Orait thank you,,,,,,,,,,,,
20,twitter,@kicapjoy Dividen masuk dalam akaun Maybank.,,,,,,,,,,,,
21,twitter,"@kewangangraduan Kalau takde akaun Maybank, boleh ke buka akaun AHB?",,,,,,,,,,,,
22,twitter,Bape kali ek nak mintk acc no maybank. Jem pale client ni,,,,,,,,,,,,
23,twitter,"Sumbangan boleh disalurkan ke nombor akaun: 
562263528280 (MAYBANK) - PERSATUAN ANAK MUDA ISLAM SE-MALAYSIA
Reference: Ramadhan

Sebarang pertanyaan sila hubungi:
Husna - https://t.co/xjjvdVvWdq",,,,,,,,,,,,
24,twitter,@Maybank_ll https://t.co/nhweJa10sK,,,,,,,,,,,,
25,twitter,Complimentary Chatime Signature Milk Tea utk transaksi min 50K dgn Maybank Kartu Kredit JCB. Hingga 10 Jun. https://t.co/ZSZlgcY84e,,,,,,,,,,,,
26,twitter,@Maybank_ll TAMBWM,,,,,,,,,,,,
27,twitter,@Maybank_ll moon,,,,,,,,,,,,
28,twitter,"Ouh.. dia ni la aku nampak solat Maghrib kat ruangan SST Maybank Suria KLCC Ahad lepas. 

Faham jela surau kat Suria KLCC time maghrib. Time takde Covid-19 pun penuh. https://t.co/UWJxkGCe8z",,,,,,,,,,,,
29,twitter,@Mark_Maybank Hi Mark! Excited to follow the @MaverixPe journey.,,,,,,,,,,,,
30,twitter,@bubuyaaaa maybank rm1 . cimb rm20 . bank islam smpai 0 🤣,,,,,,,,,,,,
31,twitter,"@flvmeng @mvcndo @fandangzs @popezaao @addieeewd @ciumzntz @carrossvl @ppxdrx Wood Maybank Heyward

(o sobrenome dos dois juntos ai facilita)",,,,,,,,,,,,
32,twitter,Baru downlaod MAE maybank ni. Harap2 boleh menabung😂😂,,,,,,,,,,,,
33,twitter,jj maybank my fav himbo,,,,,,,,,,,,
34,twitter,@Maybank_ll intimidador e sério,,,,,,,,,,,,
35,twitter,@MyMaybank Maybank pun dah kena enjet vaksin Sinovac ke?,,,,,,,,,,,,
36,twitter,通过Maybank #EzyQ 提前在网上安排您的分行预约，即省时间又安全！现在就观看视频以了解更多详情，或登录https://t.co/2kiPWMuOPr 进行预约。 https://t.co/vGTTXspGqa,,,,,,,,,,,,
37,twitter,Done claim maybank treatpoint total 32000. Hypergear dry bag 5L saja https://t.co/Y5X0K4da6L,,,,,,,,,,,,
38,twitter,"mae maybank ada expenses limit dan fix utk 5k with apps and 10k with cards. once da reach max limit, kna tggu next month plak bru boleh guna duit dlm tu. i’m stuck. aiyoo, smua saving dlm ewallet tu kot. damn",,,,,,,,,,,,
39,twitter,@helmi9120 Apa la maybank naiktaraf la xde dh nk gna tac pakai secure aproved ja,,,,,,,,,,,,
40,twitter,"series
        before
                boys
                      because
                              no boy is  
                                      jj maybank",,,,,,,,,,,,
41,twitter,"For someone who normally takes about 2 hrs daily to reach Maybank HQ, THIS  👇🏻 https://t.co/N6P4qSStbL",,,,,,,,,,,,
42,twitter,"awal (@ Maybank - Bandar Baru Selayang in Batu Caves, Selangor) https://t.co/TiSoc0B3UD",,,,,,,,,,,,
43,twitter,having thoughts about jj maybank  https://t.co/iHdsqgHiBv,,,,,,,,,,,,
44,twitter,@_maybank Melhor ainda,,,,,,,,,,,,
45,twitter,@_maybank dm,,,,,,,,,,,,
46,twitter,"@_maybank nossa, meu deus ela não merece isso esse fdp que ódio",,,,,,,,,,,,
47,twitter,jj maybank,,,,,,,,,,,,
48,twitter,"Thank you @BetaKit for this great story.  We are so excited to get things going! @Mav_John @Mark_Maybank @14y7h
@chitra_anand @ruffoloj @NagarRahmani @vvnoleary @DrEricHoskins
#MaverixPE #WeAreMaverix
https://t.co/4HmIKPVjpm",,,,,,,,,,,,
49,twitter,"Thank you @joshokane @SeanSilcoff for writing this deeply thoughtful piece.  It takes a #community to help us persevere.  @Mark_Maybank
@NagarRahmani
@14y7h @DrEricHoskins @ruffoloj
@Mav_John @vvnoleary @chitra_anand #MaverixPE #WeAreMaverix
https://t.co/uS0s9w5O4P",,,,,,,,,,,,
50,twitter,time ni gak la maybank nak maintenance,,,,,,,,,,,,
51,twitter,"me waiting 3 more minutes, just want to use #maybank rn 😴😴",,,,,,,,,,,,
52,twitter,wait even maybank is down.... the fuck,,,,,,,,,,,,
